Movie Title:, Duration: , Movie Times: 
Mission: Impossible Fallout, 2h 27m, 6:55 PM 3:45 PM10:05 PM 
The Meg, 1h 54m, 7:05 PM 9:55 PM4:15 PM 
A.X.L., 1h 40m,  
Christopher Robin, 1h 44m, 3:30 PM 6:45 PM9:20 PM 
Crazy Rich Asians, 2h 01m, 4:20 PM 7:10 PM10:00 PM 
Hotel Transylvania 3: Summer Vacation, 1h 37m, 3:50 PM 6:20 PM 
Incredibles 2, 2h 05m, 3:40 PM  
Jurassic World: Fallen Kingdom, 2h 08m, 6:35 PM 9:35 PM 
Kin, 1h 43m, 4:25 PM 7:15 PM9:50 PM 
Little Italy, 1h 41m, 4:10 PM 6:45 PM9:40 PM 
Mamma Mia! Here We Go Again, 1h 52m, 4:05 PM 6:50 PM9:30 PM 
Mile 22, 1h 35m, 4:00 PM 6:30 PM9:15 PM 
Papillon, 2h 13m, 3:35 PM 6:40 PM9:45 PM 
The Equalizer 2, 2h 01m, 9:25 PM  
The Happytime Murders, 1h 31m, 3:55 PM 7:00 PM10:00 PM 
